Manufacturer,Model,Description,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,CO2 g/km
CITROEN,New C1,VTi 68 ETG,Petrol,5,3.8,4.2,97
CITROEN,New C1,VTi 82,Petrol,5.4,3.7,4.3,99
CORVETTE,C6 Coupé & Convertible,6.2L V8 Auto.,Petrol,19,8.9,12.6,293
CORVETTE,C6 Coupé & Convertible,6.2L V8 MM6,Petrol,20.8,9.4,13.6,315
CORVETTE,C6 Coupé & Convertible,6.2L V8 MZ6,Petrol,21.6,9.3,13.8,321
CORVETTE,Grand Sport Coupé,Z16 6.2L V8 Auto.,Petrol,19,8.9,12.6,293
CORVETTE,Grand Sport Coupé,Z16 6.2L V8 Manual,Petrol,21.6,9.3,13.8,321
CORVETTE,Z06,7.0L V8,Petrol,21.4,9.4,13.8,325
CORVETTE,ZR1,6.2L V8 ME2,Petrol,20.8,10.2,14.1,331
CORVETTE,ZR1,6.2L V8 MH3,Petrol,21,10.8,14.5,342
DACIA,Duster,1.6 16v 105 4x2,Petrol,9.6,6,7.1,165
DACIA,Duster,1.6 16v 105 4x4,Petrol,10.4,7,8,185
DACIA,Duster,dCi 110 4x2,Diesel,5.7,4.6,5,130
DACIA,Duster,dCi 110 4x4,Diesel,5.9,5,5.3,137
DACIA,Logan,1.2 16v 75,Petrol,7.6,4.9,5.8,135
DACIA,Logan,dCi 90,Diesel,4.3,3.5,3.8,99
DACIA,Logan,TCe 90,Petrol,6.4,4.3,5,116
DACIA,Sandero,1.2 16v 75,Petrol,7.6,4.9,5.8,135
DACIA,Sandero,dCi 90,Diesel,4.3,3.5,3.8,99
DACIA,Sandero,Stepway dCi 90 ,Diesel,4.6,3.7,4,105
DACIA,Sandero,Stepway TCe 90,Petrol,6.7,4.6,5.4,124
DACIA,Sandero,TCe 90,Petrol,6.4,4.3,5,116
FERRARI,All Models,458 Italia & Spider,Petrol,19.7,9.7,13.3,307
FERRARI,All Models,458 Italia & Spider w/ HELE,Petrol,15.8,9.4,11.8,275
FERRARI,All Models,458 Speciale w/ HELE ,Petrol,15.8,9.4,11.8,275
FERRARI,All Models,458 Speciale w/out HELE ,Petrol,19.7,9.7,13.3,307
FERRARI,All Models,599 Aperta,Petrol,26.5,12.5,17.6,411
FERRARI,All Models,599 GTO,Petrol,26.5,12.5,17.6,411
FERRARI,All Models,California,Petrol,19.4,9.4,13.1,299
FERRARI,All Models,California w/ HELE,Petrol,16.5,8.6,11.5,270
FERRARI,All Models,F12,Petrol,24.9,11.3,16.3,380
FERRARI,All Models,F12 w/ HELE,Petrol,21.9,10.9,15,350
FERRARI,All Models,FF,Petrol,25.6,10.9,16.3,380
FERRARI,All Models,FF w/ HELE,Petrol,23.5,10.7,15.4,360
FERRARI,All Models,LaFerrari,Petrol,20.5,10.2,14,330
FIAT,500 and 500C,1.3 16v MultiJet 95,Diesel,4.7,3.1,3.7,97
FIAT,500L ,1.3 16v MultiJet 85,Diesel,5,3.7,4.2,110
FIAT,500L ,1.3 16v MultiJet 85 Dualogic,Diesel,4.5,3.7,4,105
FIAT,500L ,1.3 16v MultiJet 85 Dualogic Trekking,Diesel,4.7,3.9,4.2,109
FIAT,500L ,1.3 16v MultiJet 85 Trekking,Diesel,5.2,3.8,4.3,114
FIAT,500L ,1.6 16v MultiJet 105,Diesel,5.4,3.9,4.5,117
FIAT,500L ,1.6 16v MultiJet 105 Trekking,Diesel,5.6,4.1,4.7,122
FIAT,500L ,1.6 MuliJet 120 bhp,Diesel,5.5,4,4.6,120
FIAT,500L ,1.6 MultiJet 120 bhp Trekking,Diesel,5.8,4.2,4.8,125
FIAT,500L MPW,1.3 16v MultiJet 85,Diesel,5,3.7,4.2,110
FIAT,500L MPW,1.3 16v MultiJet 85 Dualogic,Diesel,4.5,3.7,4,105
FIAT,500L MPW,1.6 16v MultiJet 105,Diesel,5.4,3.9,4.5,117
FIAT,500L MPW,1.6 16v MultiJet 120,Diesel,5.5,4,4.6,120
FIAT,Bravo,1.4 16v ,Petrol,8.1,5.2,6.3,146
FIAT,Bravo,1.4 MultiAir 140,Petrol,7.3,4.8,5.7,132
FIAT,Bravo,1.6 MultiJet 105 ECO,Diesel,5.6,3.7,4.4,115
FIAT,Bravo,1.6 Multijet 105 ECO 2014 Onwards,Diesel,5.3,3.7,4.3,113
FIAT,Doblo,1.6 MultiJet 105,Diesel,6.1,4.7,5.2,138
FIAT,Doblo,1.6 MultiJet 105 High Roof,Diesel,6.4,5.3,5.7,150
FIAT,Doblo,1.6 MultiJet 90 Dualogic,Diesel,5.6,4.7,5,133
FIAT,Doblo,1.6 MultiJet 90 Dualogic High Roof,Diesel,6.2,5.5,5.8,152
FIAT,Doblo,2.0 MultiJet,Diesel,6.7,5.1,5.7,150
FIAT,Doblo,2.0 Multijet 135 no Start & Stop,Diesel,7.3,5.1,5.9,156
FIAT,Doblo,2.0 MultiJet High Roof,Diesel,6.8,5.5,6,157
FIAT,Fiorino,Combi 5 seat 1.3 MultiJet 75,Diesel,5.1,3.8,4.3,113
FIAT,Fiorino,Combi 5 seat 1.3 MultiJet 75 Comfort-matic,Diesel,5,3.8,4.2,112
FIAT,Fiorino,Combi 5 Seat 1.3 MultiJet 75 no Start & Stop,Diesel,5.7,3.8,4.5,119
FIAT,Fiorino,Combi 5 seat 1.3 MultiJet 95,Diesel,5.2,3.8,4.3,113
FIAT,Panda,1.3 16v MultiJet 75,Diesel,4.7,3.5,3.9,104
FIAT,Panda,1.3 16v MultiJet 75 4x4,Diesel,5,4.6,4.7,125
FIAT,Panda,1.3 16v MultiJet 75 Trekking,Diesel,4.8,3.8,4.2,109
FIAT,Punto,1.3 16v MultiJet 85,Diesel,4.4,2.9,3.5,90
FIAT,Punto,1.4 16v MultiAir 105,Petrol,7.4,4.7,5.7,133
FIAT,Punto,1.4 8v,Petrol,7.4,4.7,5.7,132
FIAT,Qubo,1.3 16 v Multijet 95 Trekking,Diesel,4.9,3.6,4.1,107
FIAT,Qubo,1.3 16v MultiJet 75,Diesel,4.9,3.6,4.1,107
FIAT,Qubo,1.3 16v MultiJet 75 Dualogic,Diesel,4.8,3.7,4.1,107
FIAT,Qubo,1.3 16v MultiJet 95,Diesel,4.9,3.6,4.1,107
FIAT,Qubo,1.4,Petrol,8.2,5.6,6.6,152
FIAT,Scudo,Combi & Panorama 2.0 MultiJet 130,Diesel,8.2,6.3,7,183
FIAT,Scudo,Combi & Panorama 2.0 MultiJet 165,Diesel,8.2,6.3,7,183
FORD,B-MAX,1.0 EcoBoost 100PS post-2013/3,Petrol,6.6,4.3,5.1,119
FORD,B-MAX,1.0 EcoBoost 100PS pre-2013/3,Petrol,6.6,4.3,5.1,119
FORD,B-MAX,1.0 EcoBoost 120PS pre-2013/3,Petrol,6,4.2,4.9,114
FORD,B-MAX,1.0 EcoBoost 125PS post-2013/3,Petrol,6,4.2,4.9,114
FORD,B-MAX,1.4 Duratec 90PS post-2013/3,Petrol,7.9,4.9,6,139
FORD,B-MAX,1.4 Duratec 90PS pre-2013/3,Petrol,7.9,4.9,6,139
FORD,B-MAX,1.5 Duratorq TDCi 75PS post-2013/3,Diesel,4.8,3.8,4.1,109
FORD,B-MAX,1.5 Duratorq TDCi 75PS pre-2013/3,Diesel,4.8,3.8,4.1,109
FORD,B-MAX,1.6 Duratec Ti-VCT 105PS post-2013/3,Petrol,8.6,5.1,6.4,149
FORD,B-MAX,1.6 Duratec Ti-VCT 105PS pre-2013/3,Petrol,8.6,5.1,6.4,149
FORD,B-MAX,1.6 Duratorq TDCi 95PS post-2013/3,Diesel,4.7,3.6,4,104
FORD,B-MAX,1.6 Duratorq TDCi 95PS pre-2013/3,Diesel,4.7,3.6,4,104
FORD,C-MAX,1.0 EcoBoost 100PS post-2014/9,Petrol,6.3,4.5,5.1,117
FORD,C-MAX,1.0 EcoBoost 100PS pre-2014/9,Petrol,6.3,4.5,5.1,117
FORD,C-MAX,1.0 EcoBoost 125PS post-2014/9,Petrol,6.3,4.5,5.1,117
FORD,C-MAX,1.0 EcoBoost 125PS pre-2014/9,Petrol,6.3,4.5,5.1,117
FORD,C-MAX,1.6 Duratec Ti-VCT 105PS post-2014/9,Petrol,8.4,5.2,6.4,149
FORD,C-MAX,1.6 Duratec Ti-VCT 105PS pre-2014/9,Petrol,8.4,5.2,6.4,149
FORD,C-MAX,1.6 Duratorq TDCi 115PS post-2014/9,Diesel,5.4,4,4.5,117
FORD,C-MAX,1.6 Duratorq TDCi 115PS pre-2014/9,Diesel,5.3,4,4.5,117
FORD,C-MAX,1.6 EcoBoost 150PS post-2014/9,Petrol,7.8,5.3,6.2,144
FORD,C-MAX,1.6 EcoBoost 150PS pre-2014/9,Petrol,7.8,5.3,6.2,144
FORD,C-MAX,1.6 EcoBoost 182PS post-2014/9,Petrol,7.8,5.3,6.2,144
FORD,C-MAX,1.6 EcoBoost 182PS pre-2014/9,Petrol,7.8,5.3,6.2,144
FORD,C-MAX,2.0 Duratorq TDCi 140PS Auto. post-2014/9,Diesel,6.9,4.7,5.5,144
FORD,C-MAX,2.0 Duratorq TDCi 140PS Auto. pre-2014/9,Diesel,6.9,4.7,5.5,144
FORD,C-MAX,2.0 Duratorq TDCi 140PS Manual post-2014/9,Diesel,6.1,4.2,4.9,129
FORD,C-MAX,2.0 Duratorq TDCi 140PS Manual pre-2014/9,Diesel,6.1,4.2,4.9,129
FORD,C-MAX,2.0 Duratorq TDCi 163PS Auto. post-2014/9,Diesel,6.9,4.7,5.5,144
FORD,C-MAX,2.0 Duratorq TDCi 163PS Auto. pre-2014/9,Diesel,6.9,4.7,5.5,144
FORD,C-MAX,2.0 Duratorq TDCi 163PS Manual post-2014/9,Diesel,6.1,4.2,4.9,129
FORD,C-MAX,2.0 Duratorq TDCi 163PS Manual pre-2014/9,Diesel,6.1,4.2,4.9,129
FORD,EcoSport,1.0 EcoBoost 125PS,Petrol,6.6,4.7,5.3,125
FORD,EcoSport,1.5 Duratec 112PS Auto.,Petrol,7.9,5.3,6.3,149
FORD,EcoSport,1.5 Duratec 112PS Manual,Petrol,8.1,5.2,6.3,149
FORD,EcoSport,1.5 Duratorq TDCi 91PS +DPF,Diesel,4.9,4.4,4.6,120
FORD,Fiesta,1.0 Duratec 80PS post-2014/3,Petrol,5.1,3.8,4.3,99
FORD,Fiesta,1.0 Duratec 80PS pre-2014/3,Petrol,5.1,3.8,4.3,99
FORD,Fiesta,1.0 EcoBoost 100PS post-2014/3,Petrol,5.3,3.7,4.3,99
FORD,Fiesta,1.0 EcoBoost 100PS pre-2014/3,Petrol,5.3,3.7,4.3,99
FORD,Fiesta,1.0 EcoBoost 125PS post-2014/3,Petrol,5.3,3.7,4.3,99
FORD,Fiesta,1.0 EcoBoost 125PS pre-2014/3,Petrol,5.3,3.7,4.3,99
FORD,Fiesta,1.25 Duratec 60PS post-2014/3,Petrol,6.9,4.2,5.2,120
FORD,Fiesta,1.25 Duratec 60PS pre-2014/3,Petrol,6.9,4.2,5.2,120
FORD,Fiesta,1.25 Duratec 82PS post-2014/3,Petrol,6.9,4.2,5.2,120
FORD,Fiesta,1.25 Duratec 82PS pre-2014/3,Petrol,6.9,4.2,5.2,120
FORD,Fiesta,1.5 Duratorq TDCi 75PS post-2014/3,Diesel,4.4,3.3,3.7,98
FORD,Fiesta,1.5 Duratorq TDCi 75PS pre-2014/3,Diesel,4.4,3.3,3.7,98
FORD,Fiesta,1.6 Duratec TI-VCT 105PS post-2014/3,Petrol,8.4,4.5,5.9,138
FORD,Fiesta,1.6 Duratec TI-VCT 105PS pre-2014/3,Petrol,8.4,4.5,5.9,138
FORD,Fiesta,1.6 Duratorq TDCi 95PS post-2014/3,Diesel,4.4,3.2,3.6,95
FORD,Fiesta,1.6 Duratorq TDCi 95PS pre-2014/3,Diesel,4.4,3.2,3.6,95
FORD,Fiesta,1.6 Duratorq TDCi ECOnetic 95PS post-2014/3,Diesel,3.7,3.1,3.3,85
FORD,Fiesta,1.6 Duratorq TDCi ECOnetic 95PS pre-2014/3,Diesel,3.8,3.1,3.3,87
FORD,Fiesta,1.6 EcoBoost 182PS post-2014/3,Petrol,7.9,4.8,5.9,138
FORD,Fiesta,1.6 EcoBoost 182PS pre-2014/3,Petrol,7.9,4.8,5.9,138
FORD,Focus,1.0 EcoBoost 100PS 5 Door post-2014/9,Petrol,5.8,4.1,4.7,109
FORD,Focus,1.0 EcoBoost 100PS 5 Door pre-2014/9,Petrol,5.8,4.1,4.7,109
FORD,Focus,1.0 EcoBoost 100PS Estate post-2014/9,Petrol,5.9,4.2,4.8,112
FORD,Focus,1.0 EcoBoost 100PS Estate pre-2014/9,Petrol,5.9,4.2,4.8,112
FORD,Focus,1.0 EcoBoost 125PS 5 Door post-2014/9,Petrol,6.3,4.2,5,114
FORD,Focus,1.0 EcoBoost 125PS 5 Door pre-2014/9,Petrol,6.3,4.2,5,114
FORD,Focus,1.0 EcoBoost 125PS Estate post-2014/9,Petrol,6.4,4.4,5.1,117
FORD,Focus,1.0 EcoBoost 125PS Estate pre-2014/9,Petrol,6.4,4.4,5.1,117
FORD,Focus,1.6 Duratec Ti-VCT 105PS 5 Door post-2014/9,Petrol,8.3,4.6,5.9,136
FORD,Focus,1.6 Duratec Ti-VCT 105PS 5 Door pre-2014/9,Petrol,8.3,4.6,5.9,136
FORD,Focus,1.6 Duratec Ti-VCT 105PS Estate post-2014/9,Petrol,8.4,4.7,6,139
FORD,Focus,1.6 Duratec Ti-VCT 105PS Estate pre-2014/9,Petrol,8.4,4.7,6,139
FORD,Focus,1.6 Duratec Ti-VCT 125PS 5 Door post-2014/9,Petrol,8.7,4.9,6.3,146
FORD,Focus,1.6 Duratec Ti-VCT 125PS 5 Door pre-2014/9,Petrol,8.7,4.9,6.3,146
FORD,Focus,1.6 Duratec Ti-VCT 125PS Estate post-2014/9,Petrol,8.7,4.9,6.3,146
FORD,Focus,1.6 Duratec Ti-VCT 125PS Estate pre-2014/9,Petrol,8.7,4.9,6.3,146
FORD,Focus,1.6 Duratec Ti-VCT 85PS 5 Door post-2014/9,Petrol,8.3,4.6,5.9,136
FORD,Focus,1.6 Duratec Ti-VCT 85PS 5 Door pre-2014/9,Petrol,8.3,4.6,5.9,136
FORD,Focus,1.6 Duratorq TDCi 115PS 5 Door post-2014/9,Diesel,5.1,3.7,4.2,109
FORD,Focus,1.6 Duratorq TDCi 115PS 5 Door pre-2014/9,Diesel,5.1,3.7,4.2,109
FORD,Focus,1.6 Duratorq TDCi 115PS Estate post-2014/9,Diesel,5.1,3.7,4.2,109
FORD,Focus,1.6 Duratorq TDCi 115PS Estate pre-2014/9,Diesel,5.1,3.7,4.2,109
FORD,Focus,1.6 Duratorq TDCi 88g 105PS 5 Door post-2014/9,Diesel,3.9,3.1,3.4,88
FORD,Focus,1.6 Duratorq TDCi 88g 105PS 5 Door pre-2014/9,Diesel,3.9,3.1,3.4,88
FORD,Focus,1.6 Duratorq TDCi 88g 105PS Estate post-2014/9,Diesel,3.9,3.1,3.4,88
FORD,Focus,1.6 Duratorq TDCi 88g 105PS Estate pre-2014/9,Diesel,3.9,3.1,3.4,88
FORD,Focus,1.6 Duratorq TDCi 95PS 5 Door post-2014/9,Diesel,5.1,3.7,4.2,109
FORD,Focus,1.6 Duratorq TDCi 95PS 5 Door pre-2014/9,Diesel,5.1,3.7,4.2,109
FORD,Focus,1.6 Duratorq TDCi 95PS Estate post-2014/9,Diesel,5.1,3.7,4.2,109
FORD,Focus,1.6 Duratorq TDCi 95PS Estate pre-2014/9,Diesel,5.1,3.7,4.2,109
FORD,Focus,1.6 Duratorq TDCi 99g 105PS 5 Door post-2014/9,Diesel,4.3,3.4,3.7,99
FORD,Focus,1.6 Duratorq TDCi 99g 105PS 5 Door pre-2014/9,Diesel,4.3,3.4,3.7,99
FORD,Focus,1.6 Duratorq TDCi 99g 105PS Estate post-2014/9,Diesel,4.3,3.4,3.7,99
FORD,Focus,1.6 Duratorq TDCi 99g 105PS Estate pre-2014/9,Diesel,4.3,3.4,3.7,99
FORD,Focus,1.6 EcoBoost 150PS 5 Door post-2014/9,Petrol,7.6,4.9,5.9,137
FORD,Focus,1.6 EcoBoost 150PS 5 Door pre-2014/9,Petrol,7.6,4.9,5.9,137
FORD,Focus,1.6 EcoBoost 150PS Estate post-2014/9,Petrol,7.6,4.9,5.9,137
FORD,Focus,1.6 EcoBoost 150PS Estate pre-2014/9,Petrol,7.6,4.9,5.9,137
FORD,Focus,1.6 EcoBoost 182PS 5 Door post-2014/9,Petrol,7.6,4.9,5.9,137
FORD,Focus,1.6 EcoBoost 182PS 5 Door pre-2014/9,Petrol,7.6,4.9,5.9,137
FORD,Focus,1.6 EcoBoost 182PS Estate post-2014/9,Petrol,7.6,4.9,5.9,137
FORD,Focus,1.6 EcoBoost 182PS Estate pre-2014/9,Petrol,7.6,4.9,5.9,137
FORD,Focus,2.0 Duratorq TDCi 140PS 5 Door Auto. post-2014/9,Diesel,6.6,4.3,5.2,134
FORD,Focus,2.0 Duratorq TDCi 140PS 5 Door Auto. pre-2014/9,Diesel,6.6,4.3,5.2,134
FORD,Focus,2.0 Duratorq TDCi 140PS 5 Door Manual post-2014/9,Diesel,6.1,4.1,4.9,124
FORD,Focus,2.0 Duratorq TDCi 140PS 5 Door Manual pre-2014/9,Diesel,6.1,4.1,4.9,124
FORD,Focus,2.0 Duratorq TDCi 140PS Estate Auto. post-2014/9,Diesel,6.6,4.3,5.2,134
FORD,Focus,2.0 Duratorq TDCi 140PS Estate Auto. pre-2014/9,Diesel,6.6,4.3,5.2,134
FORD,Focus,2.0 Duratorq TDCi 140PS Estate Manual post-2014/9,Diesel,6.1,4.1,4.9,124
FORD,Focus,2.0 Duratorq TDCi 140PS Estate Manual pre-2014/9,Diesel,6.1,4.1,4.9,124
FORD,Focus,2.0 Duratorq TDCi 163PS 5 Door Auto. post-2014/9,Diesel,6.6,4.3,5.2,134
FORD,Focus,2.0 Duratorq TDCi 163PS 5 Door Auto. pre-2014/9,Diesel,6.6,4.3,5.2,134
FORD,Focus,2.0 Duratorq TDCi 163PS 5 Door Manual post-2014/9,Diesel,6.1,4.1,4.9,124
FORD,Focus,2.0 Duratorq TDCi 163PS 5 Door Manual pre-2014/9,Diesel,6.1,4.1,4.9,124
FORD,Focus,2.0 Duratorq TDCi 163PS Estate Auto. post-2014/9,Diesel,6.6,4.3,5.2,134
FORD,Focus,2.0 Duratorq TDCi 163PS Estate Auto. pre-2014/9,Diesel,6.6,4.3,5.2,134
FORD,Focus,2.0 Duratorq TDCi 163PS Estate Manual post-2014/9,Diesel,6.1,4.1,4.9,124
FORD,Focus,2.0 Duratorq TDCi 163PS Estate Manual pre-2014/9,Diesel,6.1,4.1,4.9,124
FORD,Focus,2.0 EcoBoost 250PS 5 Door post-2014/9,Petrol,9.9,5.6,7.2,169
FORD,Focus,2.0 EcoBoost 250PS 5 Door pre-2014/9,Petrol,9.9,5.6,7.2,169
FORD,Focus,2.0 EcoBoost 250PS Estate post-2014/9,Petrol,9.9,5.6,7.2,169
FORD,Focus,2.0 EcoBoost 250PS Estate pre-2014/9,Petrol,9.9,5.6,7.2,169
FORD,Galaxy,1.6 Duratec EcoBoost 160PS post-2014/3,Petrol,9.1,6.1,7.2,167
FORD,Galaxy,1.6 Duratec EcoBoost 160PS pre-2014/3,Petrol,9.1,6.1,7.2,167
FORD,Galaxy,1.6 Duratorq 115PS post-2014/3,Diesel,5.9,4.9,5.2,139
FORD,Galaxy,1.6 Duratorq 115PS pre-2014/3,Diesel,5.9,4.9,5.2,139
FORD,Galaxy,2.0 Duratec EcoBoost 203PS post-2014/3,Petrol,11,6.4,8.1,189
FORD,Galaxy,2.0 Duratec EcoBoost 203PS pre-2014/3,Petrol,11,6.4,8.1,189
FORD,Galaxy,2.0 Duratorq 140PS Auto. post-2014/3,Diesel,6.8,5,5.7,149
FORD,Galaxy,2.0 Duratorq 140PS Auto. pre-2014/3,Diesel,7.4,5.2,6,159
FORD,Galaxy,2.0 Duratorq 140PS Manual post-2014/3,Diesel,6.5,4.7,5.3,139
FORD,Galaxy,2.0 Duratorq 140PS Manual pre-2014/3,Diesel,6.5,4.7,5.3,139
FORD,Galaxy,2.0 Duratorq 163PS Auto. post-2014/3,Diesel,6.8,5,5.7,149
FORD,Galaxy,2.0 Duratorq 163PS Auto. pre-2014/3,Diesel,7.4,5.2,6,159
FORD,Galaxy,2.0 Duratorq 163PS Manual post-2014/3,Diesel,6.5,4.7,5.3,139
FORD,Galaxy,2.0 Duratorq 163PS Manual pre-2014/3,Diesel,6.5,4.7,5.3,139
FORD,Galaxy,2.2 Duratorq 200PS Auto. post-2014/3,Diesel,9.4,5.8,7.1,189
FORD,Galaxy,2.2 Duratorq 200PS Auto. pre-2014/3,Diesel,9.4,5.8,7.1,189
FORD,Galaxy,2.2 Duratorq 200PS Manual post-2014/3,Diesel,8.4,5.8,6.8,179
FORD,Galaxy,2.2 Duratorq 200PS Manual pre-2014/3,Diesel,8.4,5.8,6.8,179
FORD,Grand C-MAX,1.0 EcoBoost 100PS post-2014/9,Petrol,6.4,4.6,5.2,118
FORD,Grand C-MAX,1.0 EcoBoost 100PS pre-2014/9,Petrol,6.4,4.6,5.2,118
FORD,Grand C-MAX,1.0 EcoBoost 125PS post-2014/9,Petrol,6.4,4.6,5.2,118
FORD,Grand C-MAX,1.0 EcoBoost 125PS pre-2014/9,Petrol,6.4,4.6,5.2,118
FORD,Grand C-MAX,1.6 Duratorq TDCi 115PS post-2014/9,Diesel,5.5,4.3,4.7,124
FORD,Grand C-MAX,1.6 Duratorq TDCi 115PS pre-2014/9,Diesel,5.5,4.3,4.7,124
FORD,Grand C-MAX,1.6 EcoBoost 150PS post-2014/9,Petrol,7.9,5.6,6.4,149
FORD,Grand C-MAX,1.6 EcoBoost 150PS pre-2014/9,Petrol,7.9,5.6,6.4,149
FORD,Grand C-MAX,1.6 EcoBoost 182PS post-2014/9,Petrol,7.9,5.6,6.4,149
FORD,Grand C-MAX,1.6 EcoBoost 182PS pre-2014/9,Petrol,7.9,5.6,6.4,149
FORD,Grand C-MAX,2.0 Duratorq TDCi 140PS Auto. post-2014/9,Diesel,7.1,4.9,5.7,149
FORD,Grand C-MAX,2.0 Duratorq TDCi 140PS Auto. pre-2014/9,Diesel,7.1,4.9,5.7,149
FORD,Grand C-MAX,2.0 Duratorq TDCi 140PS Manual post-2014/9,Diesel,6.3,4.4,5.1,134
FORD,Grand C-MAX,2.0 Duratorq TDCi 140PS Manual pre-2014/9,Diesel,6.3,4.4,5.1,134
FORD,Grand C-MAX,2.0 Duratorq TDCi 163PS Auto. post-2014/9,Diesel,7.1,4.9,5.7,149
FORD,Grand C-MAX,2.0 Duratorq TDCi 163PS Auto. pre-2014/9,Diesel,7.1,4.9,5.7,149
FORD,Grand C-MAX,2.0 Duratorq TDCi 163PS Manual post-2014/9,Diesel,6.3,4.4,5.1,134
FORD,Grand C-MAX,2.0 Duratorq TDCi 163PS Manual pre-2014/9,Diesel,6.3,4.4,5.1,134
FORD,Ka,1.2 Duratec 69PS,Petrol,5.8,4.4,4.9,115
FORD,Ka,1.3 Duratorq 75PS,Diesel,4.9,3.7,4.1,109
FORD,Mondeo,1.6 Duratec EcoBoost 160PS Estate post-2014/3,Petrol,8.2,5.4,6.4,149
FORD,Mondeo,1.6 Duratec EcoBoost 160PS Estate pre-2014/3,Petrol,8.2,5.4,6.4,149
FORD,Mondeo,1.6 Duratec EcoBoost 160PS Saloon post-2014/3,Petrol,8.2,5.4,6.4,149
FORD,Mondeo,1.6 Duratec EcoBoost 160PS Saloon pre-2014/3,Petrol,8.2,5.4,6.4,149
FORD,Mondeo,1.6 Duratec Ti-VCT 120PS Estate post-2014/3,Petrol,9.1,5.3,6.7,156
FORD,Mondeo,1.6 Duratec Ti-VCT 120PS Estate pre-2014/3,Petrol,9.1,5.3,6.7,156
FORD,Mondeo,1.6 Duratec Ti-VCT 120PS Saloon post-2014/3,Petrol,9.1,5.3,6.7,156
FORD,Mondeo,1.6 Duratec Ti-VCT 120PS Saloon pre-2014/3,Petrol,9.1,5.3,6.7,156
FORD,Mondeo,1.6 Duratorq ECOnetic 115PS Estate post-2014/3,Diesel,4.8,3.8,4.2,109
FORD,Mondeo,1.6 Duratorq ECOnetic 115PS Estate pre-2014/3,Diesel,5.1,3.8,4.3,112
FORD,Mondeo,1.6 Duratorq ECOnetic 115PS Saloon post-2014/3,Diesel,4.8,3.8,4.2,109
FORD,Mondeo,1.6 Duratorq ECOnetic 115PS Saloon pre-2014/3,Diesel,5.1,3.8,4.3,112
FORD,Mondeo,2.0 Duratec EcoBoost 203PS Estate pre-2014/3,Petrol,10.7,6,7.7,179
FORD,Mondeo,2.0 Duratec EcoBoost 203PS Saloon pre-2014/3,Petrol,10.7,6,7.7,179
FORD,Mondeo,2.0 Duratec EcoBoost 240PS Estate post-2014/3,Petrol,10.9,6,7.7,179
FORD,Mondeo,2.0 Duratec EcoBoost 240PS Estate pre-2014/3,Petrol,10.9,6,7.7,179
FORD,Mondeo,2.0 Duratec EcoBoost 240PS Saloon post-2014/3,Petrol,10.9,6,7.7,179
FORD,Mondeo,2.0 Duratec EcoBoost 240PS Saloon pre-2014/3,Petrol,10.9,6,7.7,179
FORD,Mondeo,2.0 Duratorq 140PS Estate Auto. post-2014/3,Diesel,7.2,4.7,5.6,149
FORD,Mondeo,2.0 Duratorq 140PS Estate Auto. pre-2014/3,Diesel,7.2,4.7,5.6,149
FORD,Mondeo,2.0 Duratorq 140PS Estate Manual post-2014/3,Diesel,6.1,4.2,4.9,129
FORD,Mondeo,2.0 Duratorq 140PS Estate Manual pre-2014/3,Diesel,6.1,4.2,4.9,129
FORD,Mondeo,2.0 Duratorq 140PS Saloon Auto. post-2014/3,Diesel,7.2,4.7,5.6,149
FORD,Mondeo,2.0 Duratorq 140PS Saloon Auto. pre-2014/3,Diesel,7.2,4.7,5.6,149
FORD,Mondeo,2.0 Duratorq 140PS Saloon Manual post-2014/3,Diesel,6.1,4.2,4.9,129
FORD,Mondeo,2.0 Duratorq 140PS Saloon Manual pre-2014/3,Diesel,6.1,4.2,4.9,129
FORD,Mondeo,2.0 Duratorq 163PS Estate Auto. post-2014/3,Diesel,7.2,4.7,5.6,149
FORD,Mondeo,2.0 Duratorq 163PS Estate Auto. pre-2014/3,Diesel,7.2,4.7,5.6,149
FORD,Mondeo,2.0 Duratorq 163PS Estate Manual post-2014/3,Diesel,6.1,4.2,4.9,129
FORD,Mondeo,2.0 Duratorq 163PS Estate Manual pre-2014/3,Diesel,6.1,4.2,4.9,129
FORD,Mondeo,2.0 Duratorq 163PS Saloon Auto. post-2014/3,Diesel,7.2,4.7,5.6,149
FORD,Mondeo,2.0 Duratorq 163PS Saloon Auto. pre-2014/3,Diesel,7.2,4.7,5.6,149
FORD,Mondeo,2.0 Duratorq 163PS Saloon Manual post-2014/3,Diesel,6.1,4.2,4.9,129
FORD,Mondeo,2.0 Duratorq 163PS Saloon Manual pre-2014/3,Diesel,6.1,4.2,4.9,129
FORD,Mondeo,2.0 Duratorq ECO 163PS Estate Auto. post-2014/3,Diesel,6.5,4.5,5.2,136
FORD,Mondeo,2.0 Duratorq ECO 163PS Estate Manual post-2014/3,Diesel,5.6,4,4.6,120
FORD,Mondeo,2.0 Duratorq ECO 163PS Saloon Auto. post-2014/3,Diesel,6.5,4.5,5.2,136
FORD,Mondeo,2.0 Duratorq ECO 163PS Saloon Manual post-2014/3,Diesel,5.6,3.9,4.5,119
FORD,Mondeo,2.0 Duratorq ECOnetic 140PS Estate Auto. post-2014/3,Diesel,6.5,4.5,5.2,136
FORD,Mondeo,2.0 Duratorq ECOnetic 140PS Estate Manual post-2014/3,Diesel,5.6,4,4.6,120
